rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
113,نايف الصحفي NAIF ALSAHFI,799000,74278508,663,Nonprofits & Activism,2012,11.5,4.804347826086956
114,Padre Mario Sartori,789000,176851495,7022,Nonprofits & Activism,2016,7.5,78.02222222222223
115,Akhand Manthan,787000,109614802,2283,Nonprofits & Activism,2016,7.5,25.366666666666664
116,samir ali,786000,129963101,2154,Nonprofits & Activism,2017,6.5,27.615384615384613
117,Perry Stone,785000,143777635,1826,Nonprofits & Activism,2011,12.5,12.173333333333334
118,Igreja de Jesus Cristo,782000,239602094,1351,Nonprofits & Activism,2009,14.5,7.764367816091954
119,Inside FBCG,781000,257625441,1366,Nonprofits & Activism,2007,16.5,6.898989898989899
120,الراقي المغربي نعيم ربيع,780000,195064538,5672,Nonprofits & Activism,2011,12.5,37.81333333333333
121,Moojiji,773000,114263263,927,Nonprofits & Activism,2007,16.5,4.681818181818182
122,Life Without Limbs: Nick Vujicic Ministries,768000,99214604,1560,Nonprofits & Activism,2010,13.5,9.62962962962963
123,Первый канал Евразия LIVE,765000,0,0,Nonprofits & Activism,2018,5.5,0.0
124,Amen Comunicaciones,763000,181999299,2312,Nonprofits & Activism,2010,13.5,14.271604938271606
125,ONE FOR ISRAEL Ministry,761000,139028107,518,Nonprofits & Activism,2009,14.5,2.977011494252874
126,Shekinah. fm,758000,235764511,3814,Nonprofits & Activism,2013,10.5,30.26984126984127
127,Bangla InfoTube,756000,82640536,518,Nonprofits & Activism,2007,16.5,2.6161616161616164
128,Телеканал «Доктор»,753000,69621240,1340,Nonprofits & Activism,2017,6.5,17.17948717948718
129,Fé em Deus,751000,29200294,2821,Nonprofits & Activism,2012,11.5,20.442028985507246
130,UKRLIFE.TV,750000,286872351,14683,Nonprofits & Activism,2013,10.5,116.53174603174602
131,Pastora Tânia Tereza Oficial,749000,52209103,561,Nonprofits & Activism,2014,9.5,4.921052631578948
132,The Humane Society of the United States,745000,207670669,1354,Nonprofits & Activism,2006,17.5,6.447619047619047
133,Behold Israel with Amir Tsarfati,741000,126578292,1225,Nonprofits & Activism,2013,10.5,9.722222222222223
134,David Icke,740000,99378706,1003,Nonprofits & Activism,2006,17.5,4.776190476190476
135,สามอาชีพ เพื่อมนุษยชาติ,739000,137517875,2151,Nonprofits & Activism,2015,8.5,21.08823529411765
136,Andre Krieger (CommanderKrieger),734000,187548311,4841,Nonprofits & Activism,2010,13.5,29.88271604938272
137,iTops,734000,144955032,204,Nonprofits & Activism,2016,7.5,2.2666666666666666
138,7-канал Кыргызстан,731000,166091807,12058,Nonprofits & Activism,2017,6.5,154.5897435897436
139,KTO TV,725000,293417985,40568,Nonprofits & Activism,2009,14.5,233.1494252873563
140,Адыл Акжол уулу,725000,161149893,2976,Nonprofits & Activism,2015,8.5,29.176470588235293
141,Qalampir UZ,724000,121605050,2244,Nonprofits & Activism,2015,8.5,22.0
142,Jonathan Cahn Official,718000,72819111,2330,Nonprofits & Activism,2008,15.5,12.526881720430106
143,瘋狂老爹,714000,153563697,1037,Nonprofits & Activism,2009,14.5,5.959770114942529
144,مصطفى خفاجى 111,712000,65596573,457,Nonprofits & Activism,2011,12.5,3.046666666666667
145,Malkansview,699000,29415910,1297,Nonprofits & Activism,2011,12.5,8.646666666666667
146,jlin7,695000,91576425,48,Nonprofits & Activism,2010,13.5,0.2962962962962963
147,Marlene Mukai,691000,47629793,491,Nonprofits & Activism,2013,10.5,3.8968253968253967
148,AL Mydan TV - قناة الميدان,686000,15226138,5764,Nonprofits & Activism,2011,12.5,38.42666666666667
149,Jeff & Alyssa,685000,81129921,192,Nonprofits & Activism,2007,16.5,0.9696969696969697
150,AtheneWins,680000,25283512,209,Nonprofits & Activism,2007,16.5,1.0555555555555556
151,Экстренный вызов 112,674000,651351803,6614,Nonprofits & Activism,2012,11.5,47.92753623188406
152,Truthunedited,673000,79393350,340,Nonprofits & Activism,2015,8.5,3.3333333333333335
153,Soul Desire,671000,115427,19,Nonprofits & Activism,2009,14.5,0.10919540229885057
154,UNICEF,665000,176852067,4673,Nonprofits & Activism,2006,17.5,22.25238095238095
155,Оштв Каналы,659000,99802873,6048,Nonprofits & Activism,2015,8.5,59.29411764705882
156,CGN,658000,226582006,11253,Nonprofits & Activism,2010,13.5,69.46296296296296
157,Di Propósito,654000,529796995,112,Nonprofits & Activism,2012,11.5,0.8115942028985508
158,Журналюга,651000,252985712,225,Nonprofits & Activism,2016,7.5,2.5
159,PanSci 泛科學,649000,54919185,655,Nonprofits & Activism,2010,13.5,4.04320987654321
160,Ministerios En Contacto,648000,124404716,1741,Nonprofits & Activism,2017,6.5,22.32051282051282
161,ShalomTelevision,647000,108710808,22960,Nonprofits & Activism,2008,15.5,123.44086021505376
162,Quebrando o Tabu,642000,64681317,587,Nonprofits & Activism,2011,12.5,3.9133333333333336
163,Halal Traveler,641000,110790687,1228,Nonprofits & Activism,2009,14.5,7.057471264367816
164,Sant Shri Asharamji Ashram,636000,218406071,6178,Nonprofits & Activism,2009,14.5,35.50574712643678
165,Living Faith Church Worldwide,632000,66871401,1865,Nonprofits & Activism,2012,11.5,13.514492753623188
166,Dr Jayapaul,631000,173184863,6713,Nonprofits & Activism,2012,11.5,48.64492753623188
167,La Voz de Jesús,629000,166880766,2013,Nonprofits & Activism,2012,11.5,14.58695652173913
168,PETA (People for the Ethical Treatment of Animals),622000,324327353,3679,Nonprofits & Activism,2008,15.5,19.779569892473116
169,काला जगुआर सफेद बाघ,622000,148908453,33,Nonprofits & Activism,2014,9.5,0.2894736842105263
170,УТРК,613000,115030345,21886,Nonprofits & Activism,2012,11.5,158.59420289855072
171,FlynnFlyTaggart,605000,74137534,101,Nonprofits & Activism,2011,12.5,0.6733333333333333
172,ORVALHO,604000,46431320,492,Nonprofits & Activism,2013,10.5,3.9047619047619047
173,قناة مسافرين,599000,88217181,2783,Nonprofits & Activism,2013,10.5,22.087301587301585
174,قناة الجنة paradise channel,596000,106197944,954,Nonprofits & Activism,2010,13.5,5.888888888888889
175,Adventistas Brasil,596000,45864620,4564,Nonprofits & Activism,2011,12.5,30.426666666666666
176,Raham TV,595000,106294128,8955,Nonprofits & Activism,2013,10.5,71.07142857142857
177,VN Live,594000,293823250,4269,Nonprofits & Activism,2009,14.5,24.534482758620687
178,Демастер,591000,57932026,1101,Nonprofits & Activism,2013,10.5,8.738095238095239
179,Касается каждого,587000,410886085,4270,Nonprofits & Activism,2013,10.5,33.88888888888889
180,Palabra del Señor,586000,43056749,888,Nonprofits & Activism,2019,4.5,16.444444444444446
181,ANONYMOUS,585217,12182827,58,Nonprofits & Activism,2012,11.5,0.4202898550724638
182,T&H - Inspiration & Motivation,584000,103479007,186,Nonprofits & Activism,2011,12.5,1.24
183,Darvoz Show,583000,166942744,1004,Nonprofits & Activism,2017,6.5,12.87179487179487
184,Holy Bible,578000,29596613,42,Nonprofits & Activism,2006,17.5,0.19999999999999998
185,Creciendo en la Fè.,576000,64895972,895,Nonprofits & Activism,2011,12.5,5.966666666666666
186,Sanctuaire Notre-Dame de Lourdes,573000,162110562,13388,Nonprofits & Activism,2008,15.5,71.97849462365592
187,गुरुदेव श्री श्री रवि शंकर,572000,62696344,578,Nonprofits & Activism,2018,5.5,8.757575757575758
188,WildEarth,558000,251471118,8170,Nonprofits & Activism,2015,8.5,80.09803921568627
189,Голос Германии,552000,63165166,514,Nonprofits & Activism,2012,11.5,3.7246376811594204
190,Lauren Chen,551000,88059617,1016,Nonprofits & Activism,2016,7.5,11.28888888888889
191,Benny Hinn Ministries,548000,49978566,2575,Nonprofits & Activism,2015,8.5,25.245098039215687
