rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
210,TGYM - ÐºÑÐ°ÑÐ¸Ð¹ ÑÑÑÐ½ÐµÑ ÐºÐ°Ð½Ð°Ð»,2610000,268749732,931,Sports,2012,11.5,6.746376811594203
211,That'll Work,2610000,1413251242,260,Sports,2019,4.5,4.814814814814815
212,Pipa Combate,2600000,804448547,1591,Sports,2015,8.5,15.598039215686276
213,Kplus Sports,2590000,2072022797,8853,Sports,2019,4.5,163.94444444444443
214,Hardcore Fighting Championship,2590000,423012081,152,Sports,2020,3.5,3.619047619047619
215,urbanamadei,2580000,846520290,630,Sports,2006,17.5,3.0
216,Cricbuzz,2570000,673501669,17053,Sports,2013,10.5,135.34126984126985
217,Passion4Profession,2560000,539930611,445,Sports,2008,15.5,2.39247311827957
218,2HYPE,2560000,626967686,200,Sports,2019,4.5,3.7037037037037037
219,DÃ¢n Thá» HÃ¬nh,2550000,83566602,103,Sports,2013,10.5,0.8174603174603176
220,UNDISPUTED,2550000,2251923393,7533,Sports,2016,7.5,83.7
221,Äá» Kim PhÃºc - Freestyle Football,2540000,994018813,1142,Sports,2016,7.5,12.68888888888889
222,STRELKA STREET FIGHTS,2540000,1201503040,4207,Sports,2011,12.5,28.046666666666667
223,MMG,2530000,1199468349,2327,Sports,2015,8.5,22.813725490196077
224,KAMIWAZA,2530000,1025946241,329,Sports,2015,8.5,3.225490196078431
225,Caroline Girvan,2510000,419910111,639,Sports,2015,8.5,6.264705882352941
226,Raquel Freestyle,2500000,355516740,1109,Sports,2008,15.5,5.962365591397849
227,Ryan Taylor,2500000,455981229,554,Sports,2011,12.5,3.6933333333333334
228,Tiitanes Futbol - Tips - Regates - Jugadas,2490000,609102474,2233,Sports,2011,12.5,14.886666666666665
229,Score 90,2480000,663709474,93,Sports,2016,7.5,1.0333333333333334
230,FÃ¡brica de Monstros,2480000,224712345,446,Sports,2014,9.5,3.9122807017543857
231,FenerbahÃ§e SK,2460000,209777586,1145,Sports,2013,10.5,9.087301587301587
232,Galatasaray,2460000,397815235,4225,Sports,2011,12.5,28.166666666666668
233,NHK WORLD-JAPAN,2440000,652208910,2223,Sports,2007,16.5,11.227272727272727
234,Volleyball World,2430000,963294110,7155,Sports,2011,12.5,47.699999999999996
235,ufcespanol,2420000,353418263,5961,Sports,2011,12.5,39.74
236,Power Volleyball,2400000,1332475262,2274,Sports,2017,6.5,29.153846153846157
237,GOLAZO TV,2391932,96550448,44,Sports,2016,7.5,0.4888888888888889
238,WESLEY GIMENEZ - KRAV MAGA CAVEIRA,2390000,423746096,2801,Sports,2013,10.5,22.23015873015873
239,ÐÐ½ÑÐ¾Ð½ ÐÐ»ÐµÐºÑÐµÐµÐ²,2380000,136079811,526,Sports,2009,14.5,3.022988505747126
240,SkillTwins,2360000,303185597,236,Sports,2011,12.5,1.5733333333333333
241,Os Donos da Bola,2350000,1029163411,9437,Sports,2016,7.5,104.85555555555555
242,Guru Mann Fitness,2350000,165699782,414,Sports,2015,8.5,4.0588235294117645
243,Starting Eleven,2350000,458549125,1873,Sports,2016,7.5,20.81111111111111
244,ILoveBasketballTV,2330000,53430811,584,Sports,2012,11.5,4.231884057971015
245,JxmyHighroller,2330000,435457002,192,Sports,2007,16.5,0.9696969696969697
246,ê°ì¤í¸GAMST,2320000,1856446607,4724,Sports,2013,10.5,37.492063492063494
247,Futebol da Galera,2300000,163636192,239,Sports,2015,8.5,2.343137254901961
248,GYM BODY MOTIVATION,2290000,16362495,149,Sports,2018,5.5,2.2575757575757573
249,Fitness by Vivi,2290000,271123133,597,Sports,2012,11.5,4.326086956521739
250,England,2280000,799419180,5441,Sports,2006,17.5,25.909523809523808
251,Victor Lelis,2280000,343712600,1349,Sports,2012,11.5,9.77536231884058
252,Top Rank Boxing,2280000,856037352,4800,Sports,2009,14.5,27.586206896551726
253,Pak Tv24,2270000,161335388,4722,Sports,2017,6.5,60.53846153846154
254,Programa do Porchat,2260000,679320980,3392,Sports,2016,7.5,37.68888888888889
255,Ligue 1 Uber Eats,2250000,829906473,20078,Sports,2009,14.5,115.39080459770115
256,Olena Starodubets,2250000,256253199,899,Sports,2012,11.5,6.5144927536231885
257,Pilhado,2240000,235011907,2147,Sports,2017,6.5,27.525641025641026
258,Messi Magicâ¢,2220000,373961360,329,Sports,2014,9.5,2.8859649122807016
